osm_id,name,operator,telecom,building,addr:housenumber,addr:street,addr:city,addr:state,addr:postcode,source_layer,lat,lon,geometry
,,,,yes,,,,,,polygons,41.221485599999994,-95.86382197398765,"MULTIPOLYGON (((-95.865882 41.2217721, -95.8617567 41.2217498, -95.861762 41.2211991, -95.8658872 41.2212214, -95.865882 41.2217721)))"
,360 Spear Street Data Center,,,data_center,,,,,,polygons,37.78899165,-122.39013668645539,"MULTIPOLYGON (((-122.3906265 37.7891359, -122.3903153 37.7893799, -122.3896469 37.7888474, -122.389958 37.7886034, -122.3906265 37.7891359)))"
,Equinix NY5 Data Center,,,yes,,,,,,polygons,40.77862955,-74.07229969299424,"MULTIPOLYGON (((-74.072894 40.7793526, -74.0723689 40.7791931, -74.072328 40.7792704, -74.0714598 40.7790066, -74.0715025 40.7789261, -74.0712119 40.7788378, -74.0714326 40.7784213, -74.0712869 40.778377, -74.0713364 40.7782835, -74.0714797 40.7783271, -74.0717503 40.7778164, -74.0734365 40.7783288, -74.072894 40.7793526)))"
,Equinix NY4 Data Center,,,yes,,,,,,polygons,40.77642805000001,-74.06977591147162,"MULTIPOLYGON (((-74.0685732 40.7775067, -74.0698896 40.775019, -74.0709786 40.7753494, -74.0696622 40.7778372, -74.0685732 40.7775067)))"
,Equinix NY2 Data Center,,,data_center,,,,,,polygons,40.777582249999995,-74.07594031554937,"MULTIPOLYGON (((-74.0771766 40.7784334, -74.0756717 40.7788311, -74.074704 40.7767311, -74.0748618 40.7766895, -74.0755237 40.7765145, -74.075255 40.7759314, -74.0759403 40.7757503, -74.0771766 40.7784334)))"
,,,,data_center,,,,,,polygons,40.549213449999996,-74.45820960795598,"MULTIPOLYGON (((-74.4579504 40.5496127, -74.4576322 40.5491379, -74.4584689 40.5488142, -74.458787 40.549289, -74.4579504 40.5496127)))"
,,,,data_center,,,,,,polygons,40.55304865,-74.45922721301082,"MULTIPOLYGON (((-74.4599068 40.5528661, -74.4603316 40.5536027, -74.4590132 40.5540416, -74.4587962 40.5536652, -74.4585789 40.5532839, -74.4585483 40.5532312, -74.4581729 40.5525844, -74.4580808 40.5524246, -74.4593922 40.5519881, -74.4593886 40.5519819, -74.4598874 40.551815, -74.4601511 40.5522699, -74.4602843 40.5524997, -74.4599696 40.5526051, -74.4600832 40.5528095, -74.4599068 40.5528661)))"
,,,,data_center,,,,,,polygons,40.553791149999995,-74.45706791394755,"MULTIPOLYGON (((-74.4577366 40.5537968, -74.457683 40.5538146, -74.4576423 40.5537435, -74.4577948 40.553693, -74.4577167 40.5535567, -74.4578253 40.5535208, -74.4577401 40.5533722, -74.4576305 40.5534084, -74.4575533 40.5532738, -74.4571296 40.553414, -74.4570733 40.5533158, -74.4570533 40.5533224, -74.4568121 40.5534023, -74.4567746 40.5534147, -74.4568344 40.5535189, -74.4564108 40.5536591, -74.4564833 40.5537855, -74.4563795 40.5538199, -74.4563958 40.5538483, -74.4564745 40.5539856, -74.4565795 40.5539508, -74.4566505 40.5540745, -74.4568711 40.5540015, -74.4569131 40.5540747, -74.4568862 40.5540835, -74.4569622 40.554216, -74.4569832 40.554209, -74.4570676 40.5541811, -74.4571429 40.5543124, -74.4577787 40.5541019, -74.4577881 40.5540988, -74.457714 40.5539694, -74.4578161 40.5539356, -74.457748 40.5538168, -74.4577366 40.5537968)))"
,Intergate Seattle East Building 2,,,data_center,,,,,,polygons,47.4950309,-122.29056965,"MULTIPOLYGON (((-122.2896919 47.495363, -122.2897095 47.4946784, -122.2914474 47.4946988, -122.2914298 47.4953834, -122.2896919 47.495363)))"
,Intergate Seattle East Building 1,,,data_center,,,,,,polygons,47.4948596,-122.28819430066527,"MULTIPOLYGON (((-122.2870173 47.4950761, -122.2870305 47.4946127, -122.2893713 47.4946431, -122.2893581 47.4951066, -122.2870173 47.4950761)))"
,,,,data_center,,,,,,polygons,37.376959850000006,-121.95205927956067,"MULTIPOLYGON (((-121.9523621 37.3772653, -121.9521423 37.3772635, -121.952141 37.3771978, -121.9519697 37.377195, -121.9519678 37.3771367, -121.9517819 37.3771338, -121.9517557 37.3771155, -121.9517571 37.376801, -121.9519638 37.3768021, -121.9523622 37.3768042, -121.9523621 37.3772653)))"
,1100 Space Park Drive,,,data_center,,,,,,polygons,37.375795249999996,-121.9533356186873,"MULTIPOLYGON (((-121.9528396 37.3759221, -121.9528401 37.3757095, -121.9528423 37.3755491, -121.9538306 37.3755524, -121.9538316 37.375881, -121.9538317 37.3759002, -121.9538322 37.3760948, -121.9528402 37.3760947, -121.9528401 37.3760593, -121.95284 37.376027, -121.9528396 37.3759221)))"
,3105 Alfred Street,,,data_center,,,,,,polygons,37.37827855,-121.95808945412804,"MULTIPOLYGON (((-121.9584291 37.3786543, -121.957792 37.3786539, -121.9577927 37.3779205, -121.9584193 37.3779209, -121.9584191 37.3782157, -121.9583866 37.3782157, -121.9583865 37.3783414, -121.9584293 37.3783415, -121.9584291 37.3786543)))"
,1201 Comstock Street,,,data_center,,,,,,polygons,37.374996550000006,-121.95407689999999,"MULTIPOLYGON (((-121.9543441 37.3752142, -121.9538104 37.3752148, -121.9538097 37.3747789, -121.9543434 37.3747783, -121.9543441 37.3752142)))"
,1525 Comstock Street,,,data_center,,,,,,polygons,37.37488095,-121.9559990878378,"MULTIPOLYGON (((-121.9564445 37.3751249, -121.9554556 37.3751201, -121.9554585 37.3747399, -121.9565418 37.3747451, -121.9565397 37.3750172, -121.9564453 37.3750168, -121.9564445 37.3751249)))"
,1725 Comstock Street,,,data_center,,,,,,polygons,37.3750232,-121.9580962,"MULTIPOLYGON (((-121.9585021 37.3752573, -121.957692 37.3752591, -121.9576903 37.3747891, -121.9585004 37.3747873, -121.9585021 37.3752573)))"
,1500 Space Park Drive,,,data_center,,,,,,polygons,37.37576825,-121.95518440075934,"MULTIPOLYGON (((-121.9554908 37.3760318, -121.9553298 37.3760302, -121.9553308 37.3759694, -121.9548704 37.3759646, -121.954877 37.3755654, -121.9554984 37.3755719, -121.9554908 37.3760318)))"
,,,,data_center,,,,,,polygons,37.37642765,-121.94847572664037,"MULTIPOLYGON (((-121.9487561 37.3765814, -121.9481103 37.3765802, -121.9479497 37.3761521, -121.9491802 37.3761549, -121.949178 37.3763599, -121.9488976 37.3763539, -121.9488991 37.3764954, -121.9487584 37.3764976, -121.9487561 37.3765814)))"
,,,,data_center,,,,,,polygons,37.3775848,-121.95068207556457,"MULTIPOLYGON (((-121.9509434 37.3777297, -121.9504153 37.3777233, -121.9504207 37.3774399, -121.9509489 37.3774463, -121.9509434 37.3777297)))"
,2805 Lafayette Street,,,data_center,,,,,,polygons,37.37234705,-121.9482597108543,"MULTIPOLYGON (((-121.9483445 37.3726063, -121.9473326 37.3725935, -121.9473425 37.3720993, -121.9474458 37.3721006, -121.9474497 37.3719043, -121.9486012 37.3719188, -121.9486042 37.3717673, -121.9491479 37.3717742, -121.9491471 37.3718137, -121.9491925 37.3718143, -121.9491754 37.3726725, -121.949009 37.3726704, -121.9490097 37.3726394, -121.9488414 37.3726373, -121.9488406 37.3726753, -121.9483432 37.372669, -121.9483445 37.3726063)))"
