id,name,state,county,facility_area_sqft,lat,lon,source_layer,source_file
13409186015,DāStor: 3400 Horizon Drive,PA,Montgomery County,,40.087918900000005,-75.3397205,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
13465438761,Rad Web Hosting,TX,Dallas County,,32.778446900000006,-96.798496,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
13527396782,,WA,Snohomish County,,47.95874409999997,-122.19153160000002,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::point
00002744301,Verizon,NJ,Middlesex County,105786.0,40.54425557630532,-74.49652096447575,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00014930068,HPC,NM,Bernalillo County,158463.0,35.04994198074902,-106.54282203991323,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00015884451,Barclays Datacenter,NJ,Union County,94373.0,40.64375303338713,-74.28548116880219,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00016282459,CyberNAP Glen Burnie,MD,Anne Arundel County,89879.0,39.14024170717737,-76.60643112453295,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00019390019,Dakota Carrier Network,ND,Cass County,25931.0,46.81509687104177,-96.84432644156146,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00019787207,Microsoft Data Center 1,VA,Prince William County,248706.0,38.8024111256264,-77.58237918867958,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00025706343,Cyxtera Dallas-Fort Worth Data Center,TX,Tarrant County,309104.0,32.83271789571454,-97.0410416432689,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00028544618,Equinix Infomart,TX,Dallas County,239835.0,32.800943222986994,-96.81951054637986,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00029827954,CoreSite BO1,MA,Middlesex County,133960.0,42.37670588382176,-71.07975761756323,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00030666790,USPO Terminal Annex,CA,Los Angeles County,99270.0,34.05810223824728,-118.23539293645689,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00030827429,DataBank,TX,Dallas County,43564.0,32.77830147632332,-96.79843729449847,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00031250931,CyrusOne Cincinnati-Mason CIN3,OH,Warren County,82813.0,39.303895806613035,-84.31157999997258,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00031800424,LightEdge SAN1,CA,San Diego County,83576.0,32.827865524456854,-117.12993394622255,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00031803515,EdgeConneX San Diego,CA,San Diego County,39204.0,32.842308661647536,-117.1693449894231,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00032560290,RagingWire CA2,CA,Sacramento County,204702.0,38.6503995314376,-121.49194609960875,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00032560292,RagingWire CA1,CA,Sacramento County,192302.0,38.65043183405982,-121.48918647250004,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00035491576,Equinix SV1,CA,Santa Clara County,135022.0,37.241586803667886,-121.7833201255276,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00036897140,,OH,Hamilton County,13074.0,39.29404817733801,-84.41211321346512,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00037877544,Lumen Sunnyvale 1,CA,Santa Clara County,77132.0,37.37343914789955,-121.98781298697565,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00037947313,OpenColo,CA,Santa Clara County,65471.0,37.37881629201175,-121.95593725165453,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
00037947314,Equinix Santa Clara SV2,CA,Santa Clara County,81106.0,37.378433690080165,-121.95499188020412,im3_us_data_center_locations,im3_us_data_center_locations.gpkg::building
